bookingId,userId,userEmail,showtimeId,movieTitle,theaterName,seatCount,totalPrice,bookingTime,status
1,2182,ifreeman@example.net,379,Scene successful control,Robinson-Kennedy Cinemas,5,68.15,2026-07-23,CONFIRMED
2,2852,uhorton@example.net,1112,Mr Mr all,White-Reese Cinemas,2,20.04,2026-07-23,CONFIRMED
3,2041,morsestephen@example.com,539,Pass exactly,"Thompson, Harper and Welch Cinemas",1,19.98,2026-07-23,CONFIRMED
4,1974,angelawilson@example.net,1806,Fine,"Freeman, Cox and Mitchell Cinemas",4,72.12,2026-06-24,CONFIRMED
5,4236,ydavenport@example.net,420,Picture popular,"Taylor, Morales and Fuller Cinemas",4,70.64,2026-07-23,CANCELLED
6,3294,andrewbrown@example.com,369,Enter under,"Black, Collins and Powell Cinemas",2,37.64,2026-07-03,CONFIRMED
7,1482,ediaz@example.org,455,Several concern,"Davis, Rodriguez and Andrews Cinemas",4,53.96,2026-06-26,CONFIRMED
8,4148,williamsonrobin@example.com,1731,But,Roberts Group Cinemas,3,35.97,2026-06-19,CONFIRMED
9,3450,williamjordan@example.org,1700,Song to foreign,Buchanan LLC Cinemas,2,25.82,2026-07-23,CANCELLED
10,2390,wongsean@example.com,493,Father wife,Smith-Gomez Cinemas,2,40.52,2026-07-01,CONFIRMED
11,20,dixonkimberly@example.net,1478,Apply because tell,Wyatt Ltd Cinemas,4,94.88,2026-06-18,CONFIRMED
12,4387,josebrown@example.net,1390,Mind point game,Gibson Ltd Cinemas,1,8.07,2026-07-23,CONFIRMED
13,1595,jacquelinemurray@example.net,877,Your,Mccoy-Strickland Cinemas,5,78.75,2026-07-05,CONFIRMED
14,3544,fsteele@example.com,78,South moment alone interview,"Gonzales, Smith and Davis Cinemas",6,108.84,2026-07-23,CONFIRMED
15,2342,wchavez@example.net,636,Same behind prove light,"Stevens, Norris and Smith Cinemas",2,32.52,2026-07-23,CONFIRMED
16,4193,williamhaynes@example.com,1637,Truth explain,"Munoz, Krueger and Solomon Cinemas",3,62.61,2026-06-23,CONFIRMED
17,2092,gutierrezolivia@example.com,300,With international citizen,"Nguyen, Marsh and Beck Cinemas",3,71.61,2026-07-19,CONFIRMED
18,2782,michelleknapp@example.net,1996,Important hear power,Gonzalez-Wilson Cinemas,1,17.45,2026-06-23,CONFIRMED
19,1823,greenalexa@example.org,1310,Significant free,"Marshall, Murray and Miller Cinemas",4,92.84,2026-07-23,CONFIRMED
20,3814,annastephens@example.org,151,Walk room adult,"Jackson, Andersen and Bowen Cinemas",3,50.97,2026-07-23,CONFIRMED
21,1106,carl64@example.net,715,Chair what measure,"Fowler, Jones and Moore Cinemas",2,42.06,2026-06-28,CONFIRMED
22,4666,paul85@example.org,785,Attorney pull,Carroll-Snyder Cinemas,4,86.32,2026-07-08,CONFIRMED
23,1024,diazmichael@example.org,1024,Value process,Orr-Miranda Cinemas,4,92.44,2026-07-23,CONFIRMED
24,3803,lgoodwin@example.net,1417,Than bit traditional,"Wolfe, Chavez and Mcbride Cinemas",3,68.25,2026-07-23,CONFIRMED
25,831,gking@example.org,1537,Modern difficult open,Galloway-Jacobs Cinemas,2,24.7,2026-07-23,CONFIRMED
